dataset,activity_intensity,activity_intensity_norm
FP32 GEMM,10.185407971837211,0.25463046038785436
FP32 GEMM,10.191209052728203,0.2547754847110925
FP32 GEMM,10.188273915927718,0.25470210765669515
FP32 GEMM,10.1873254511037,0.25467839647738166
FP32 GEMM,10.190259732605814,0.2547517521497177
FP32 GEMM,10.189193017682173,0.2547250847729312
FP32 GEMM,10.18730723548132,0.25467794109529723
FP32 GEMM,10.190158756545644,0.25474922779519404
FP32 GEMM,10.186352597705282,0.2546540755950553
FP32 GEMM,10.187302376626691,0.2546778196261922
FP32 GEMM,9.8887789348468,0.2472148724740351
FP32 GEMM,9.888779372079117,0.2472148834046396
FP32 GEMM,9.88897130482436,0.24721968163397118
FP32 GEMM,9.88921110790649,0.2472256765994526
FP32 GEMM,9.456911494238103,0.23641838739137802
FP32 GEMM,9.456911494238103,0.23641838739137802
FP32 GEMM,9.888852605381183,0.24721671420311842
FP32 GEMM,9.888985981885563,0.24722004855367255
FP32 GEMM,9.888842406404981,0.24721645923345859
FP32 GEMM,9.888842406404981,0.24721645923345859
FP32 GEMM,9.888981002030885,0.24721992405962256
FP32 GEMM,9.888982962603594,0.2472199730730281
FP32 GEMM,10.623888810445143,0.2655922773435134
FP32 GEMM,10.623888810445143,0.2655922773435134
FP32 GEMM,9.88891518457083,0.2472182786537437
FP32 GEMM,9.88917554024477,0.24722478742445797
FP32 GEMM,9.888842406404981,0.24721645923345859
FP32 GEMM,9.888842406404981,0.24721645923345859
FP32 GEMM,10.213791822410712,0.2553400434461957
FP32 GEMM,10.213791822410712,0.2553400434461957
